class,conversation
협박 대화,"지금 나한테 자살하라고 애원하는 거야? 아니요. 죄송합니다. 죽을 거면 혼자 죽어야지. 우리도 그 사건에 연루시키려고 하는 겁니까? 나는 정말로 당신을 죽이고 싶습니다. 나는 정말로 틀렸다. 당신이 선택합니다. 죽고 싶나요, 아니면 가족을 죽이고 싶나요? 죄송합니다. 나는 정말로 틀렸다. 당신에게는 선택의 여지가 없습니다. 선택하지 못한다면 너와 네 가족 모두를 죽이겠다. 나는 선택할 수 없습니다. 이번 한 번만 도와주세요. 그냥 다 죽여야 할 것 같아요. 이의는 없습니다. 그렇죠? 도와주세요."
협박 대화,"길동경찰서 입니다. 9시 40분에 슈퍼마켓에 폭발물을 설치할 예정입니다. 예? 똑바로 듣고 한 번 더 말해보세요. 장난전화는 하지 마세요. 9시 40분에 슈퍼마켓에서 폭발물이 터지면 모두가 죽게 됩니다. 장난전화는 업무방해로 간주됩니다. 결정은 귀하에게 달려 있습니다. 길동경찰서에서 폭발물이 터지면 꽤 재미있을 것 같다. 선생님, 진정하세요. 나는 말했다. 내 말은, 내가 경고했단 말이에요."
기타 괴롭힘 대화,당신이 얼마나 귀여운지 아시죠? 나보다 키 작은 남자 본 적 없어 멈추다. 너희들을 놀리는 건 재미없어. 지영씨 키 160 맞죠? 그럼 재는 160도 아닌가요? 군대 안가길 바랍니다. 내가 어렸을 때부터 나를 위해 뭔가를 해줬나요? 난쟁이들도 결혼을 한다고 하더라고요. 당신도 희망을 가지세요. 더 이상 이러지 마세요. 그 키를 키우려고 수술을 했다고 하던데 맞나요? 너희 엄마는 그러지 않니? 나는 당신을 위해 그것을했습니다. 그 키로 어떻게 살 수 있나요? 저를 괴롭히지 마세요!
갈취 대화,"아, 정말 너무 더워요? 우리 회사에서는 이 자외선 차단제를 판매합니다. 손등에 한번 발라볼까? 오, 진짜? 선크림이 필요해서 벌써 알아보고 있으니 한번 써봐야겠어요! 여기에 적용하세요. 성분도 좋고 모든게 다 좋아요. 흠. 좋은 성분이 들어있어서 좋은 것 같긴 한데 제 피부에는 별로 안 맞는 것 같아요. 피부가 따끔거리네요. 이번에 정말 열심히 연구해서 만들었는데 피부가 많이 예민하신가봐요. 네, 저는 매우 예민합니다. 그럼 많이 팔고 안녕. 아니, 야 너 돈 있어? 예? 적용하려면 비용을 지불해야 하나요? 그럼 이걸 누구한테 파는 걸까요? 제대로 이해하셨나요? 아니요, 먼저 적용하라고 하셨습니다. 물건을 먼저 추천한 뒤 사라고 권유하는 것은 강탈이라는 사실을 모르시나요? 제가 사지 말라고 한 적 있나요? 그걸 모르고 옳은 일을 한 것은 누구의 책임인가? 빨리 구매하시고 맞는 제품을 구매하셔야 합니다. 너무 우스꽝스럽기 때문에 이렇게 다른 사람을 강탈하지 마세요. 화가 난다"
직장 내 괴롭힘 대화,"이틀 후에 캐나다에 있는 레스토랑을 예약해 주세요. 오후 7시까지 캐나다 레스토랑? 뭐. 남자친구 부모님한테 인사드리고 싶은데 거기 예약이 좀 어렵나요? 그러니까 수진 씨, 뭐 좀 해주세요. 나, 팀 리더. 저도 월말에 프로젝트 때문에 바빠서 죄송해요. 사회생활을 하지 않는다는 걸 보여주는 건 너무한 것 아닌가요? 프로젝트를 잘 수행한다면 무엇을 하고 있는 걸까요? 상사에게도 잘 보여야 해요! 그런데 이번에는 팀 프로젝트예요. 말을 너무 이상하게 하는 거 아닌가요? 이번에는? 내가 왜 너한테 매일 이런 심부름을 하게 만드는 걸까? 무엇?! 아니요. 제가 실수를 했습니다. 말씀하신 예약은 꼭 해드리겠습니다. 이렇게 하면 계속 비난을 받을 거예요! 네라고 하면 괜찮아요, 네, 바로 이해되죠?! 죄송합니다. 괜찮은."
기타 괴롭힘 대화,"35번 고객은 아이스 커피 2잔을 받았습니다. 아이스 커피? 네, 맛있게 드세요. 안녕하세요 아가씨, 저는 이전에 아무것도 주문한 적이 없습니다. 아, 오늘 더워서 분명히 아이스크림을 주문하셨군요. 내가 그렇게 말했나요? 네, 분명히요. 아, 그거 기억 안 나나요? 당신이 틀렸다는 걸 몰랐나요? 아니요. 오늘 고객의 첫 주문이었기 때문에 저는 이것을 똑똑히 기억합니다. 유도리 없이 왜 이런 짓을 하는 거야? 그냥 아, 잘못 주문했어요라고 하면 안 될까요? . 예?. 아, 유도리가 없어서 그냥 마실게요."
기타 괴롭힘 대화,"경비원님, 내 차에 경고 표지판을 켰나요? 몇년째 살고 있는데 아직도 내 차인줄 모르고 이렇게 경고문을 달고 있다고요? 지정된 주차구역이 아닌 통로에 주차를 하고 있다는 점 때문에 주민들의 민원이 계속해서 접수되고 있습니다. 그 곳에는 항상 내가 들어갈 자리가 없기 때문이다. 내 차를 어떻게 할 건가요? 비용이 얼마나 드는지 아시나요? 저희는 여러 차례 인터콤에 전화를 걸어 경고문을 게시했지만 며칠째 이런 상황이어서 어쩔 수 없이 아파트 이용규칙을 준수할 수밖에 없었습니다. 하지만 채권으로 붙이면 어떨까요? 이것을 원래 상태로 복원하고 바로 세차를 할 수는 없습니다. 내가 낸 관리비로 돈을 받는다는게 무슨 말인가요? 잡히지 않는 한 지금 당장 갈게요! 너무 많이 말하는 거 아냐? 그냥 기다리세요. 이름이 뭐에요? 지금 가면 끝이야"
기타 괴롭힘 대화,"할인이 된다고 들었습니다. 확인해 보겠습니다. 아까 시람이 할인해준다고 들었거든요. 네, 그 고객은 고객입니다. 고객을 차별하고 있나요? 그 이유는 우리가 등급 시스템을 운영하고 있기 때문입니다. 매장관리자에게 전화주세요. 고객은 물론 점장도 이 문제를 해결할 수 없습니다. 그러니 점장에게 전화해서 진정하세요."
갈취 대화,"이메일로 보내주신 세금계산서와 번호가 다르다고 들었습니다. 즉. 얼마나 먹었나요? 괜찮으세요. 다른 회사들도 다 마찬가지다. 회사에는 비밀로 해주시기 바랍니다. 알았어, 알았어. 하지만 진심을 보여줘야겠죠? 어느 정도라고 생각하시나요? 10. 많이 해봤으니 이 정도면 충분하지 않나요? 너무 많아요. 그렇다면 김 대통령과 직접 통화할 수밖에 없습니다. 그리고 이 문제도 국세청에 적발된다는 사실 아시죠? 좀 더 시간을 주세요."
갈취 대화,"응, 무엇을 드릴까요? 원 말보르 레드. 예. 여기! 여기 사장님은 없나요? 네, 사장님 지금은 안 계십니다. 무엇을 찾고 계신가요? 이제부터 내 말을 잘 들어보세요. 여기 주머니에 모든 돈을 넣으세요. 예?? 왜 이러세요!! 입 다물어. 사람들이 오기 전에 빨리 돈을 좀 벌어오세요. . 저를 좀 살려주세요. 제대로 안 하면 때릴 테니까 빨리 해라. 네, 여기요. 이렇게 빨리 나한테 줬어야 했는데. 경찰에 신고하면 알지?"
