class,conversation
4,안녕하세요! 갑자기 불이 난 걸 보니 위급한 상황이에요. 신고해 주세요 도와드릴 수 있을 것 같아요. 빠르게 불을 끄며 상황을 파악하려고 해요. 당신도 안전하게 나가길 바랍니다 경찰에게 즉시 알려주세요. 이건 저의 집이라서 빨리 들어와 주세요! 무엇이 문제인지 알려주시면 더 도와드릴 수 있을 거예요.
4,택배가 도착하지 않았어요. 무슨 일이 있었는지 모르겠네요. 배송 확인을 해보는 건 어떨까요? 회사에 연락해볼 수도 있겠죠. 먼저 확인해보고 말이야.
4,주말에 몰아서 잠 자기? 집에 돌아가면 바로 잠들어. 그럼 내일 또 뵙자. 좋았어 즐거운 주말 보내세요. 내도 그렇겠지. 행복한 주말이길 바래요!
4,집에 재료 없을 때 요리 고민은 뭔가요? 간단한 샐러드나 파스타는 어떠세요? 그 외에도 요리 도구가 없다면 손으로 직접 요리해볼 수도 있죠.
4,안녕하세요 저는 여기 있습니다. 여기서 무슨 일이 있나요? 전화 해머가 왔어요. 그럼 제가 통화 중이에요. 잠시만 기다려 주세요.
4,저녁 식사에는 무엇 먹을까? 오늘 낮에 산책 다녀왔는데 살짝 가벼워졌더라고요. 그래서 건강한 옵션에 집중해보겠어요. 예를 들어 닭가슴살 샐러드나 채소 볶음볼 먹을까? 혹시 추천해 줄 수 있나요? 두 가지 모두 맛있겠지만 저는 좀 더 가볍게 먹고 싶어요.
4,불면증 고민 왜 밤새워지니? 아마도 스트레스가 있는 거야. 그럼 심호흡이나 요가도 해보는 게 어때? 혹시라도 상담도 생각해보는 건가요. 자신에게 좋은 생각을 가르쳐줘요.
4,네 요리나 베이킹에 대한 취미 이야기를 주제로 한 대화문을 만들어 드릴게요. 당신 요즘 요리에 대해 많이 배워요. 저자 정말! 어떤 종류의 요리든지 관심이 많으시네요. 당신 그렇죠 베이킹도 즐겨요. 최근에 새로운 레시피 시도했어요. 저자 베이킹도 재미있죠. 맛있는 케이크 만들었나요? 당신 네 친구들에게 선물하기도 했어요. 모두 좋아하셨다니 기쁩니다
4,배달앱 메뉴 추천해줘. 요즘 뭐 인기 있을까? 제가 몇 가지 추천해볼게.
4,혼밥으로 가겠어? 그럼 내가 집에 갈게. 그때 너와 같이 오면 좋겠어. 어떤데 네가 요즘 바쁘니? 혼밥은 더 편할 것 같아. 그럼 함께라면 어때?
