idx,class,conversation
3000,일반,상사가 너무 힘들까? 저도 최근에 상사 때문에 스트레스 많이 받고 있어요. 그럼 오늘은 잠깐 쉬어가서 마음을 가라앉혀보자. 상사와 솔직하게 이야기해보는 것도 방법일지도 몰라. 상사가 무슨 문제가 있는지 직접 물어보자. 그렇게 하면 상사가 더 이해해줄 수도 있을 것 같아.
3001,일반,여기서 왔는가요? 어디 가셨나요? 저는 지하철역이에요. 너는 어디 있었나요? 지하철역이네요. 여기서 가는 길이요? 저는 여기서 출구를 찾고 있어요. 출구가 여기 있으면 좋겠네요. 네가 먼저 가보세요. 출구가 바로 앞에 있어요! 정말 뿌듯하네요.
3002,일반,친구와 싸운 후 정말 고민이 많아. 그냥 화해하고 넘어가려면 용기가 필요해. 언제나 서로 존중하는 마음을 잊지 말아야겠군. 다음에는 더 잘 해결할 수 있을 것 같아. 그럼 이제 고민도 잠깐 쉬어가려구. 과거의 상처를 치유하고 좋은 기억으로 바꾸자.
3003,일반,배터리가 없어서 급히 통화해야 해. 지금 어디서 만나면 좋을까? 근처 카페에 가면 어떨까. 그곳에 맞춰간다.
3004,일반,차가 고장났어. 이제 어떻게 할까? 차를 올바르게 치우고 다시 설치해야 해. 혹시 근처 차량 점검소가 있는지 알아봐. 그곳에 가서 전문가가 도와줄 거라. 차가 정상 작동하면 반드시 점검을 받도록. 이렇게 하면 다음 번 고장이 없겠지.
3005,일반,혼밥으로 가는 건 어떨까? 같이 먹으면서 영화 보는 것도 좋겠네. 어떤 선택을 하든 맛있게 즐길 수 있을 거야. 혼밥은 조금 혼자가 될 것 같아. 그럼 내가 요리할게. 너는 뭐 해?
3006,일반,아 길 잃었다니! 여기서 출근길 가는 방향이야. 우선 휴대폰으로 위치를 확인해보자. 그리고 주변 사람들에게 도움을 줄 수 있을까? 가령 내가 길을 찾는 방법을 설명해줄까. 이렇게 하면 다른 사람들도 도움이 될 거야.
3007,일반,음식 배달이 지연되었다니 화가 나네. 왜 이렇게 늦게 되었는지 모르겠어. 배달 회사가 미리 알려줘야 했는데... 이건 제대로 된 서비스 아니야. 다시 한 번 시도해봐라. 이번엔 빠르게 도착하도록 했지.
3008,일반,안녕하세요? 최근 불면증 때문에 힘들어하시나요? 일상생활에서도 스트레스가 많이 가해지는 것 같아요. 혹시라도 전문가와 상담해보시는 것도 고려해보세요. 그럼 나도 함께 스트레칭을 해볼게요. 사실 잠자리에 들기 전에 책을 읽는 것이 도움이 된다고 들어요. 그렇다면 함께 책을 읽으며 쉬어볼까요?
3009,일반,내 휴대폰 진짜 어디에 있었는데? 아마도 바깥을 나갔던 것 같아. 빠르게 검색해보자니요 연락처로 찾을 수 있을 거야. 그럼 비상 연락처로 설정해두면 더 안 될까? 그냥 다시 설정해서 만든 것도 좋을 것 같아. 그래서 지금 바로 찾아보자!
