idx,class,conversation
1000,일반,비밀번호는 어디에 보관할까? 안전한 곳을 찾아야 해. 홈페이지나 은행 사이트? 혹시 '비밀번호 관리' 앱도 있지. 다른 사람에게는 절대 말하지. 보안은 항상 최우선입니다.
1001,일반,아 목숨에 대해 얘기하자면 당신의 건강이 가장 중요하니까 정기적인 검진과 균형 잡힌 식단 그리고 충분한 휴식도 잊지 마. 이렇게 하면 몸이 항상 좋은 상태로 유지될 거야. 요즘 스트레스도 많이 받으시는 것 같아서 무사히 잘 지나길 바라.
1002,일반,기분이 좋아서 무슨 일이 있겠니? 아마도 기분 좋게 일어나겠지. 그럼 오늘 하루도 즐거운 시간 보내자. 무엇보다 건강하고 행복하니까. 기분 좋다고 느껴지면 모든 일이 좋아지거라. 좋은 기분을 유지하자!
1003,일반,안녕하세요? 요즘 어떻게 지내세요? 실제로 시간 가는 줄 모르고 지내는데요. 그럼 요즘 무슨 일이 있으니까요? 아무것도 없어요 그냥 일상 같아요. 그렇다면 함께 시간 보내는 건 어떨까요? 어떤 생각이 있으신가요?
1004,일반,자전거를 구매하려면 어떤 점을 고려해야 할까? 먼저 안전한 자전거를 선택해야 해. 둘째로 자전거의 범위를 고려해야 한다. 그럼 이제 어떤 모델을 선택할지 고민해보자. 자전거는 장시간 타는 데 좋다. 자전거를 잘 챙기면 건강에도 도움이 된다.
1005,일반,핸드폰 배터리가 거의 끝나봄? 그럼 신속히 충전해볼게. 여기 빠른 충전기를 찾아봤어. 이건 남겨두면 안 될 것 같아.
1006,일반,담배는 어때요? 어떤 종류가 있나요? 저는 로즈를 좋아해요. 나도 로즈 정말 좋더라고요. 혹시 더 저렴한 거 있나요? 저는 프리미엄 좀 더 선호해요.
1007,일반,치킨은 맛있게 드세요! 치킨은 무척 맛있습니다. 치킨 먹고 싶어요! 치킨은 최고의 음식 중 하나야. 치킨집 가서 몇 개 먹었어. 치킨은 언제나 즐거운 식감 있어요!
1008,일반,사무실 환경에 대한 대화문입니다. - 오늘 보고서 마무리했어. - 네? 그럼 내일 회의 준비할게. - 회의 참석자 리스트 다시 한 번 확인해야겠어. - 알겠어 내가 도와줄게. - 회의실 예약도 잘 했었지. - 고맙다 이제 안심할 수 있어.
1009,일반,주말 계획 어떻게 생각하니? 저도 다양한 활동을 생각하고 있어요. 예를 들어 영화 한 편 보는 건 어때요? 혹시나 여행 가기도 좋겠네요. 그럼 내가 예매할게요. 그렇게 해서 요즘엔 어디 가니?
1010,일반,담배는 어때요? 취하기 좋아서 집에 있어요. 나도 많이 쫄오지만 바쁜 일상에 어울려요. 그럼 이제 가볼까요? 집에 있는 것도 좋은 생각이에요. 언제든지 함께 하자!
1011,일반,"아 인터뷰를 준비하는 것 같네요. 먼저 질문을 드릴 사람을 소개하겠습니다. ""안녕하세요 저는 오늘 인터뷰에 오신 분을 만나게 되어 정말 기쁩니다."" ""제가 어떤 일을 하느냐에 따라 관심이 있을 수도 없을 수도 있겠죠?"" ""혹시 저와 관련된 주제가 있다면 말씀해 주세요."" ""오늘 이야기를 나누며 많은 것을 배울 수 있기를 바랍니다."" ""우선 제가 무엇을 하는지 간단히 설명해 주실 수 있을까요?"" ""당신이 생각하는 저"
1012,일반,놀이 주제: 아 요즘 놀기 좋은 날씨야! 그래서 내 주말에는 밖에 나가서 놀이터에 가고 싶어. 그럼 친구들과 같이 갈까? 그럼 정말 재미있을 것 같아. 어떤 놀이가 가장 좋아? 난 스케이트보드를 가장 좋아해!
1013,일반,아이가 학업 잘하고 있어요? 네 잘하고 있어요. 시험도 잘 봤어요. 그래서 엄마도 자랑스러워해요. 고맙아요 아빠! 이젠 걱정하지 말아요. 앞으로도 항상 응원할게요. 사랑해요 아이야!
1014,일반,부담은 정말 무겁다. 일상 속 작은 것들까지도 지치게 만든다. 그냥 지나치게 하지 않으면 안 돼. 일단 해야 하는 일을 먼저 풀어야겠어. 그 후엔 마음이 조금은 가벼워진다. 하지만 끝나지 않은 일이 계속해서 기다리고 있다.
1015,일반,집안에 무슨 일이 있었어? 난 그냥 짚을 좀 썼어. 그럼 집이 좀 썩겠더. 왜냐하면 엄마가 청소를 하지 않았기 때문이지. 어떤가요? 청소도 밖도 해야 하나요? 청소도 해야겠어. 집안일은 나와 엄마가 해야 해.
1016,일반,아 주말 계획은 어때? 무엇을 하고 싶은지 알려줄 수 있어? 저는 영화 보는 걸 좋아하네. 그럼 내가 예매할게. 어떤 영화야? 흥미로운 이야기 있는 건 있어? 좋다고 생각하면 지금 바로 예매할까?
1017,일반,거지에 사는 분들과 거리의 생활에 대해 이야기해보자. - 거지에 사는 분들은 우리보다 더 친절하고 배려심이 많다는 걸 알게 됐어. - 거기서 무슨 일이 있으면 모두가 모여서 함께 해결해주는 분들이 있어. - 거리 속의 작은 사건들이 결국 큰 변화로 이어진다는 걸 경험했어. - 거지의 주민들은 서로 도우며 살아가는 공동체처럼 느껴. - 거리에서 만난 사람들 중에는 예전엔 유명인들이었어. - 거지는
