class,conversation
4,맘이 요리를 하다가 배가 고팠다. 이건 먹을 수 있을까? 라고 물었다. 아마도 충분하다. 라고 대답했다. 하지만 배가 너무 고팠다. 한 번 더 보자 라고 말했고 그럼 요리도 멈추게 되었다.
4,치마는? 아 치마가 아니면 무슨 일이야? 치마가 있으면 어디 가야 할까? 오늘은 치마 때문에 안 가고 집에서 놀자. 그럼 치마도 보고 뭐 더 보고 싶은 거야?
4,도둑이 보낸 메시지 분석을 위해 다음 대화문을 참고하세요 도둑 이웃 집에 도둑질할까? 친구 그건 정말 위험하니까요. 도둑 그렇지만 보너를 얻기 좋은 기회라서 고민돼요. 친구 그럼 그냥 돈을 벌어보는 게 더 안전할 것 같아요. 도둑 네 네가 말은 맞아요. 위험한 게 너무 많거든요. 친구 그러면 지금 바로 도둑질하지 말고 다른 방법
4,휴대폰이 바쁘다. 요즘 너무 많이 울린다. 그럼 바로 답장해보자. 그때 내가 도와줄게. 휴대폰이 너무 화가 난다. 나도 그런 걸 참을 수 없어.
4,고릴라 주제로 한국어 대화문을 만드는 예시는 다음과 같습니다 고릴라가 숲 속을 자유롭게 뛰어놀 때 그것은 정말로 자연의 일부인 것 같아요. 고릴라와 같은 동물도 자유를 사랑하니까 우리는 인간이라서 더 많은 자유를 누리죠. 하지만 동물들도 자신의 방식으로 행복을 찾으니까 우리가 자연을 사랑해야겠어요.
4,회사에서 어떤 일 할까? 업무가 많아서 스트레스 받네. 그럼 내일 휴식일이라서 잠깐 쉬어. 오늘은 회의라서 집으로 가겠어. 회의 후에는 프로젝트 작업할 거야. 계획 잘 세우면 좋을 것 같아.
4,거기는 어디인가? 저녁 8시에 저리로 가면 되겠네요. 그럼요 거기서 뭐 하시나요?
4,학원에 가서 공부할까? 아마 학교에서 수업이 있을 것 같아. 그럼 숙제도 풀어서 괜찮을 것 같아. 오늘은 특별히 하지 않으면 되겠어. 혹시 시험은 아니지? 시험 없다면 오늘은 재미있게 보낼까.
4,죄가 났어? 무슨 일이 있었니? 아마도 실수로 말했겠지. 죄송하군. 그렇다면 사과하고 바로 미안하도록 할게. 이건 다시 하지 못할까 봐 걱정돼. 그래서 그냥 화를 내고 넘어가자고. 미안해 다시 뵙기 전까지는 안 될 거야.
4,명령을 받았으니 바로 해설해겠다.
4,부탁을 받았어. 무슨 일을 부탁해줘. 내가 도와줄 수 있을까? 시간이 좀 되면 생각해볼게. 그럼 지금 얘기하고 되려라. 무슨 일이든 네가 먼저 말하면 돼.
4,아 그럼 친구들이 모여서 얘기 나누면 어떨까? 나머지 시간엔 뭐 하시겠어요? 그냥 카페 가거나 책 읽으시는 거 좋아요. 혹시 특별히 하고 계신 일이 있나요? 그렇다면 그 일에 맞춰 계획을 세워보세요. 그냥 함께 시간 보내는 것도 최고겠죠.
4,오타쿠 요즘 오타쿠도 많이 보고 있네요. 친구 네? 왜 그렇게 관심 가지는 거야? 오타쿠 아 오타쿠가 좋아하는 건 그냥 취미야! 친구 그렇다면... 오타쿠에게 추천하고 싶은 활동은 뭐니? 오타쿠 아 오타쿠라면 무언가 재미있게 해줄 거예요. 친구 그러면 영화 보는 건 어때?
4,여름이 다가오니 바쁘게 준비할까? 방학이 된 친구들과 함께 가볼 생각이야. 어떤 곳 가고 싶은 곳이 많이 생각돼. 마지막으로 해변에 가서 일몰을 감상하고 싶어. 그럼 오늘은 집에서 아이스크림 맛보기로. 여름철엔 이런 소풍이 너무 재미있어!
4,인성을 키워드로 생각해보면 무엇이 가장 중요한가요? 저는 가족이 가장 중요하다고 생각합니다. 맞아요 가족과의 관계는 정말 중요한 부분이죠. 그리고 친구들도 중요한 사람들 같아요. 네 친구들도 항상 함께할 수 있는 사람들입니다. 그래서 서로를 잘 돌봐야 한다는 것을 느끼게 됩니다.
4,성 이 키워드를 주제로 6줄의 한국어 대화문 1개 만들어줘. 답변 예 아 성별에 따라 어떤 일이 다르게 느껴지는가요? 여러분은 어떻게 생각하시나요? 정말 궁금하네요. 무엇을 말씀하시겠어요?
4,재미 대화문 예시 아 이번 주말엔 재미있게 보내야겠어. 그래서 뭐 하길까? 게임자랑하자! 그럼 내가 집에 가서요. 친구들랑 카페에 가서요. 그리고 내일은 스포츠 경기 시청하자! 그럼 정말 재밌는 주말이 될 것 같아!
4,네 이번 주말에 시간이 많이 걸릴 것 같아. 그러면 저녁에 같이 가서 좀 협박해볼까요? 하하 그럼 그렇게 해봤자 뭐도 안 될 것 같아. 그렇지 않아요 저녁에는 정말 중요한 일 있어요. 그렇다면 어디 가고 싶으신가요? 내가 도와드릴 수 있을 것 같아. 그러니까 저녁에 저녁집에 가서 같이 식사해봐. 그러면 시간도 아끼지 않을 거야.
4,승진은 큰 기쁨이야! 이제 더 큰 책임을 맡게 됐어. 팀 리더가 될 거야. 우산도 함께 해볼까? 그럼 준비한 계획대로 진행해보자. 팀원들 모두 성장할 수 있을 거야!
4,저 이번 주말에 뭐 할까? 대화 상대 영화 한 편 보는 건 어때? 저 그러면 내가 예매할게. 대화 상대 좋아 예매하자. 저 그러면 사전 예약도 해볼게. 대화 상대 네 그렇게 하면 줄이기도 해. 저 그래서 늦게 가야겠네.
4,직원 오늘 회의에서 새로운 프로젝트를 맡게 됐습니다. 어떻게 생각하시나요? 동료 정말 흥미로운 프로젝트네요. 어떤 부분에서 책임이 많을까요? 직원 처음엔 저희 팀과 협력하는 부분이 많았는데 이제는 저희 프로젝트를 전체적으로 책임지고 있어요. 동료 그렇다면 저희 팀도 잘 지원받으면 좋겠네요. 어떤 도움이 필요하신가요? 직원 예산 문제나 인력 배치 등에서 최대한 지원
4,시장 키워드를 중심으로 한 6줄의 한국어 대화문 예시입니다 1. 시장 가고 싶으신가요? 2. 요즘 상품 많아서 정말 신기해요. 3. 어떤 제품 찾고 계신가요? 4. 저희 매장도 좋은 선택일 거예요. 5. 더 알고 싶으신 부분 있으신가요? 6. 다음 주말에도 함께 가면 어떨까요?
4,월급이 높아진다면 어떤 일을 선택할까요? 첨단 기술 분야라면 더 많은 기회가 있을 것 같아요. 혹시 실업 보험도 있나요? 그럼 더 많이 고려할 것 같아요. 실업 보험도 있어서 월급이 높아도 걱정하지 않을 것 같아요. 저는 건강한 몸과 마음이 가장 중요하다고 생각해요. 월급이 높아도 건강한 삶을 유지하는 것이 가장 중요하다고요.
4,대회에 대해 이야기해보자. 언제 개최되는데요? 다음 달에랑하나요? 그럼 준비를 시작하자. 우선 서류 제출을 하자. 그 후 인터뷰를 봅니다.
4,회원 회원가입 완료했는데 계정 초기 설정을 해야 하나요. 관리자 그렇군요! 비밀번호와 이메일을 먼저 설정하세요. 회원 알겠습니다. 비밀번호는 숫자와 문자를 혼합해서 선택할까? 관리자 좋은 생각이에요. 그리고 이메일 주소를 확인하세요. 회원 그러면 바로 시작할 수 있을 것 같아요. 관리자 네 성공하면 이메일로 환영 인사드립니다.
4,사람이 무엇을 하느냐에 따라 주말 계획이 달라질 수 있겠네요. 아니면 그냥 같이 산책하느냐? 그럼 내가 준비한 길을 따라가보자. 혹시 먹으려고 하는 곳이 있으면 알려주세요. 그렇다면 저녁에는 맛있는 음식을 즐겨보자. 언제든지 함께하는 것이 최고니까.
4,물건은 무엇인가요? 그냥 책 하나요. 그럼 책장을 정리할까? 아니면 바로 읽을까? 책은 정말 많이 있어요. 그래서 집안청소할게요.
4,행동이 키워드를 주제로 하는 6줄의 한국어 대화문을 만드겠습니다. 1. 갑자기 계기가 생겼어. 2. 어디 가고 싶어? 3. 요즘 저녁 식당 가는 게 맛있어. 4. 그러게 된다면 너랑 같이 갈래. 5. 네 그럼 내가 추천한 집에서 밥 먹으면서도 될 것 같아. 6. 그럼 그때 만나자!
4,승진은 어떤 기회인지라면 큰 성과라고 생각합니다. 하지만 승진 자체는 큰 보상이 아니니까요. 실력과 노력이 결합되어야만 가능하죠. 이건 단기적으로는 어려울 수 있지만 장기적으로는 큰 도움이 될 거예요. 당신도 믿고 노력하면 분명히 좋은 결과가 나올 겁니다. 우리의 팀도 항상 당신을 응원할 거예요.
4,김사원 김사원은 주말에 뭐 하시나요? 친구들 만나기. 그럼 그때 시간을 정해볼게요. 언제든지 맞춤차로 갑시다. 오늘 계획도 바꾸면 어떨까요? 그럼요 요즘 바쁘셔서요!
4,아 일상 생활에 대한 질문이네요. 저는 아침마다 간단한 요가를 하고 싶어요. 그럼 함께 가볼까요?
4,아 장난은 재미있겠네요. 그래서 오늘은 누군가의 장난꾸러기를 찾아볼게요. 처음에는 무시하고 싶었지만 너무 재미있어서 직접 들어가봤어요. 그 결과로 누군가가 진짜 놀랐더라구요. 어떤 경우에도 웃음은 좋아해요. 장난을 하시는 분도 웃을 수 있길 바랍니다.
4,애들 엄마 오늘 학교에서 재미있는 일이 있었어. 어머니 뭐야? 궁금하더라. 애들 친구들과 미술 시간에 그린 그림을 나눠보느라서. 어머니 하하! 그건 재미있겠지? 애들 네 그리고 선생님도 웃었던 것 같았어. 어머니 그러면 더 좋겠더라. 그 사실 알려줘!
4,모습이 아쉽다면 자신을 잘 보고 있어요. 또는 친구에게 말해보면 친구가 도와줄 거예요. 그럼 서로 도와주면서 아름다운 모습 만들어요.
4,피부 관리 잘 해요? 정기적으로 세럼 쓰는 건 어떨까요? 그럼 이번 주말에 피부 케어 제품 사고가요. 어떤 제품 사용할지 고민돼요. 앞에 있는 흉터도 잘 보이니까요. 일단 자외선 차단제도 꼭 써요.
4,우리는 어렸을 때 함께 놀던 기억이 나요. 그때는 정말 행복했어요. 이 기억들이 지금도 따뜻해요. 그 당시의 우리가 참 귀엽더라니. 그 기억을 떠올리면 웃음이 나죠. 그냥 그런 기억들이 있구나. 이런 기억들은 언제나 기쁨을 줄어들어요.
4,김과장은 요리사로 다양한 음식을 만들어내는 데 능숙합니다. 김과장 오늘 김치가 맛있게 나오지 않았나요? 집사 네 김과장 요즘 김치도 맛있게 나왔어요. 김과장 그렇다면 김치와 함께 먹을 음식도 준비했으니 좋겠네요. 집사 김과장님의 조언에 따라요 어떤 음식을 추천하시겠어요? 김과장 밥과 함께 먹으면 더 맛있겠죠. 집사 그러면 저녁은 김과장님이
4,금요일에 뭐 할까? 운동하기로 했는데 요즘 기분이 좋게 들린다. 그래서 집에서 짐잿어보는 것도 생각돼. 언젠가 진짜 운동하러 가봐야겠지만 오늘은 작은 움직임으로도 충분하다고 생각해. 걷기나 요가라도 해보고 싶다.
4,사이즈는 어떤가요? 지금 입고 있는 게 너무 작네요. 아니면 더 큰 사이즈의 옷을 원하시나요? 저는 일반 사이즈가 더 편한 것 같아요. 혹시 특별한 행사 때문에 크기를 조절해야 해요? 그렇게 되면 저도 작은 사이즈의 옷을 입는 거예요.
4,돈은 중요한 문제에 대해 깊이 생각해보는 것이 좋겠네요. 그럼 이번 달에는 추가로 돈이 많이 나왔는데요. 그래서 자산 관리를 좀 더 잘하게 해봐야겠어요. 저는 주기적으로 재무 상담을 받아보는 것도 좋은 방법 같아요. 또한 비용을 잘 관리하고 예산을 세우는 것도 중요하겠죠. 이렇게 하면 미래에 더 많은 돈을 벌 수 있을 거예요.
4,그녀 이번 주말에 뭐 할까? 남자 영화 한 편 보는 건 어때? 그녀 그러면 내가 예매할게. 남자 예매했어? 어디 가는 거야? 그녀 네 조용한 카페야. 남자 그러면 좋겠어. 같이 갈래?
4,동전은 매우 오래된 교환 수단이기 때문에 현대에서는 주로 가상 돈이나 디지털 결제수단을 사용하지만 여전히 일부 전문 분야나 특정 문화에서는 동전을 사용하게 됩니다. 예시 오늘은 동전으로 거래할까? 그럼 동전을 주고 받을 거야. 왜요? 동전이 더 편하니까. 아니면 현금이 더 안전하다고 생각해요. 현금이라니 동전도 안전하니까요. 어느쪽이 더 편리한가요?
4,주차장에 차를 두었는데 여기서 만나서 갑자기 얘기하게 됐어. 차를 어디에 두면 좋을까? 오른쪽에 공간이 많더라. 왜 이렇게 찾게? 주차할 때마다 이런 생각이 들거야. 여기서 잠깐 쉬어가도 괜찮겠어. 주차장에 차를 두었다가 말 걸렸어. 그래서 다시 생각해보자구.
4,집안에 좀 더 편안하게 지낼 수 있는 아이템을 구입하자고 했는데 아빠는 새로운 는 필요 없다고 생각해 라고 말했다. 나는 그래서 새로운 냉장고는 어떨까? 라고 물었다. 아빠는 웃으며 그건 너무 비싸서요 라고 대답했다. 내 동생은 그럼 새로운 펜을 구입하자고! 라고 제안했다. 나는 그도 좋아할 것 같아 라고 웃으며 말했다. 집안의 소음이 조금 덜해질 것 같아 마음이
4,무식 오늘 날씨 어때요? 친구 요즘 좀 더 시원해 보이네요. 무식 그렇다면 가을에 산책하기 좋아할 것 같아요. 친구 네 가을은 정말 아름답죠. 무식 특히 나무가 붉게 물든 날씨라서 더욱 좋겠어요. 친구 맞아요 가을의 풍경은 정말 멋진데요.
4,시장 주제의 한국어 대화문 예시입니다 아 오늘 시장에서 뭐 가볼까? 아마 이마트 가거나 슈퍼마켓 봐볼까. 그럼 저녁에는 맛집도 찾아보기야. 그래서 아침에 쇼핑하고 저녁에 먹음야. 혹시 맛집 추천해 줄 수 있을까? 물론이야 요즘 인기 있는 곳 몇 군데 알려줄게.
4,아 오늘 하루 정말 힘들었어. 일상적인 일이 너무 많아서 너머로 지칠 것 같았지. 그래서 잠깐 산책을 가서 마음을 정리했어. 그냥 일상 속 작은 것들에 집중하면 돼. 내일은 더 바쁠까? 그냥 오늘처럼 쉬자. 그럼 내일은 잘 보내고 오늘만 너에게 조금이라도 도와줘.
4,데이터 분석을 위해 어떤 도구를 사용할까요? 의 라이브러리를 추천드려요. 로 데이터를 처리하고 분석할 수 있답니다. 또한 쿼리를 통해 데이터베이스에서 직접 조회도 가능하죠. 어떤 도구를 선택할지는 프로젝트의 특성에 따라 다를 것 같아요. 기본적으로는 두 가지 도구가 많이 사용되는데요.
4,편의점에 가야 할까? 아마 기분이 좋아서 간단히 사볼까? 그래서 아침에 가볼까? 혹시 필요한 게 있으면 말씀하세요. 그럼 저녁에 가볼게요. 필요한 거 있으면 전화로 알려드릴게요.
4,무식 무슨 일 해볼까? 친구 만나러 가는 건 어때? 그럼 오늘 갈까? 아 오늘은 시간 좀 좀 해. 그럼 집에 가서 영화 보는 거야? 그럼 좋아할 거야.
4,아빠 이번 주말에 뭐 할까? 아이 영화 한 편 보는 건 어때? 아빠 그러면 내가 예매할게. 아이 네 그럼 가볼래? 아빠 네 그럼 함께 갈게. 아이 재미있게 즐거워봐!
4,손목이 너무 길어서 가볍게 움직일 수 있을까? 그럼 오늘 손목으로 산책하자. 손목이 너무 길면 걷기 힘들 것 같아. 그래서 손목을 가볍게 끌고 가자. 손목이 길면 운동도 많이 필요할 것 같아. 그래서 손목을 조금씩 끌어보자.
4,출근 시간에 대해 이야기하는 한국어 대화문 예시는 다음과 같습니다 아 오늘 출근시간은 언제야? 오전 9시라고 했는데 그때에는 어디 갈까? 회사 가서라면 일찍 출근해야겠어. 그래서 저녁 식사 후 바로 갈까. 그럼 집에 간단한 준비하고 가볼까. 출근 전에 간단한 아침 식사도 잊지 않을까.
4,저녁에 뭐 먹으러 갈까? 그럼 저녁에 피자 가는 건 어때? 나머지 시간에는 감상할까? 그렇다면 사과도 함께 드릴게요. 어떤 식당 가시겠어요? 추천해 주세요. 그럼 오늘 뭐 했는데요 맛있게 드셨나요?
4,무서워? 무슨 일이까? 걱정하지 마 내가 도와줄게. 그래서 뭐가 문제인지를 말해줘. 일단 내가 걱정한 게 아니니까. 무서운 상황이라도 함께라면 괜찮아.
4,비린내가 날 때 무슨 일이까? 아마 요즘 생각하기 어려울 것 같아. 그래도 중요한 일은 놓치지 말아. 나도 그런데 오늘은 바쁘다고 생각돼. 언젠가 잘 되겠지만 지금은 그렇지 않아. 그래서 그냥 마음을 풀고 쉬자.
4,안녕하세요! 우유를 좋아하시나요? 네 저도 많이 마시는데요. 신선한 우유가 맛있어요. 혹시 집에 우유가 없신가요? 바로 구입해보세요! 우유는 아침 식사에도 좋고 간식으로도 훌륭해요. 저는 우유와 커피만으로도 하루를 잘 보내죠. 우유를 좋아하신다면 다양한 종류를 시도해보세요!
4,프로젝트에 대해 얘기하자면 먼저 프로젝트의 목표를 정해야겠어. 그 다음에는 팀원들과 작업 분담 을 세우면 좋겠어. 그리고 중간에 점검 회의를 갖추면 될 것 같아. 이렇게 하면 잘못된 방향도 빠르게 발견할 수 있어.
4,정규직 이번 주말에 근무할 곳이 어디인지 고민 중이야. 아마도 사무실 근처 카페에서 시간을 보내자. 그럼 회사 측에 알리면 되겠어. 나도 너무 편할 것 같아. 오늘 좀 생각해볼게요.
4,가격이 키워드를 중심으로 답변 예시의 형식만 참고해서 6줄의 한국어 대화문 1개 만들어줘. 답변 예 가격이 너무 비싸서 가는 데 시간이 많아. 그래서 저렴한 곳을 찾는 게 어때? 저렴한 곳이 많아서 선택이 어려워. 그럼 저렴한 곳을 먼저 조사해보자. 저렴한 곳도 가격이 비싸서 걱정이돼. 결국에는 예산 내에서 선택해야겠어.
4,치마 요즘 바쁘신가요? 아니 그냥 조용히 쉬려고 해요. 그럼 혼자 있으실까요? 물론이죠 제가 가서요. 그럼 좋은 시간 보내세요!
4,안녕하세요! 오늘 인스타그램에 올릴 사진은 언제든지 좋아요. 그럼 제가 편집해 드릴까요? 물론이죠 어떤 편집을 하고 싶으신가요? 사진을 업로드하고 설명을 적으면 어떨까요? 좋은 생각이에요 저도 도와드릴게요. 업로드하기 전에 궁금한 점이 있으신가요?
4,놀기 아 요즘 뭐 재밌게 할까? 무비 보는 건 어때? 그럼 내가 몇 개 선택할게. 그럼요 같이 놀자! 너와. 그럼 저녁에는 뭐 할까? 그냥 집에 가서 게임 해볼까?
4,일주일 계획 세우자. 먼저 주말엔 뭐 할까? 영화 한 편 보는 건 어때. 그럼 내가 예매할게. 평일은 업무 중심으로 할까? 회의와 프로젝트 회의 다 들어갈 것 같아.
4,친구 오늘 뭐 했어? 나 바닷가에 가서 수영했어. 너도 요즘 재밌는 일 했어? 친구 아니 그냥 집에 있었어. 너는 어디 갔어? 나 친구들과 함께 이사 했어. 이제부터 새로운 시작이야. 친구 정말 흥미진진하네. 다음 주말에 뭐 해? 나 아마도 같은 친구들끼리 모여볼 거야. 너도 같이 해보겠어?
