class,conversation,synthetic
0,밤마다 뭘하는 지 시끄러워서 잠을 못자겠다고! 밤에 뭐 하긴 자지. 자는 데 왜 쿵쾅거리는 소리가 나냐고 윗집이 우리 집만 있나? 옆집인가보지 말이 되는 소리를 해! 옆집은 지금 여행 중이라 비어 있다고 억울하면 그쪽이 이사를 가시던가 그딴 식으로 나오면 너 가족들 무사할 수 있을 거 같아? 지금 협박하는거야? 그래 자꾸 시끄럽게 하면 너 너네 가족 다 죽여버릴거야. 협박죄로 고소하겠어!,no
2,너 무슨 빽있니? 맨날 이딴식으로 일해놓고 그렇게 뻔뻔해? 아닙니다 야 회사가 장난이야? 니가 맨날 사고치고 일도 못하는데 돈은 주니까 만만하니? 아닙니다. 넌 그냥 마음에 안 들어. 출근하는 꼬라지하고는 죄송합니다 눈 똑바로 치켜뜨지 말고 알아서 잘 기라고. 짤리고 싶어? 오해이십니다. 오해는 무슨. 넌 그냥 앞으로 승진 꿈도 꾸지마 알겠어? 죄송합니다.,no
0,내가 맘만 먹으면 너같은 거 여기 발도 못붙이게 할 수있는거 알지? 제가 뭘 잘못했다고 그러십니까 너의 그 시건방지고 재수없는 태도가 문제야 한번도 예의에 어긋나는 행동은 하지 않았습니다 웃기고 있네 그건 니 기준이고 너 하는 양이 재수가 털려서 면상을 확 긁어버리고 싶다 말씀 삼가해주십시오 내가 왜?? 어쭈 눈을 왜 그렇게뜨지?? 건방짐이 하늘을 찌르네 정말?? 무서운게 없나봐? 홀어머니 한명 모시고 한다하는데 여기서 잘리면 어머니 밥은 차려드리겠냐? 하 진짜 왜그러십니까 뭐가 왜그래야 새끼야 뒤지기 싫고 잘리기 싫으면 알아서 눈 깔고 공손히 나를 떠받들고 다니라고 나 니 사장 친구야 사장님 친구분이시지 사장님은 아니잖습니까 어쭈 이것봐라?,no
1,너 저거 되게 이뻐보인다 이거 선물받은거예요 그래? 생일선물 받은건데 제일 소중한 사람한테 받았어요 그럼 나한테좀 줘봐 이거요? 이거지 저거냐 이건 안돼요 그냥줄래 맞고줄래 그냥 다른거 드릴게요,no
4,배달앱 메뉴 추천 좀 봐? 저는 피자와 볶음밥 추천해요. 그럼요 너는 어떤 것을 먹고 싶어? 나침밥도 맛있겠네. 어떤 걸 먹으면서 같이 보는 건 어때? 그럼 함께 주문해보자!,topic
3,너가 학교 다닐때 공부 잘했으면 배달일 했겠니? 말이 너무 심한거 아냐? 뭐가? 맞잖아 나이먹어서도 계속 오토바이 탈거니 ? 아으 창피하다 그만해 뭘 그만해 왜 기분나빠? 그럼 공부해서 제대로 된 직장 다니지 그랬어 그만하자 나도 똑같이 열심히 일 해서 돈 버는 사람이야,no
2,김대리!! 부르셨습니까? 부장님! 김대리는 회사 빽으로 들어왔나? 네? 무슨 말씀을. 자네 이딴 엉터리 서류를 해놓고 결제 올리는 배짱은 어디서 나오는거지? 열심히 해서 올린겁니다. 부장님! 입사 3년차가 초입보다 못한 기획안을 내놓고 어쩌자는 건가? 아니 부장님 말씀이 너무. 에이 정말 생긴 것도 무식하게 생겨가지고 일도 그지같이 하고 썩 나가 다시해!!! 부장님 그건 언어폭력이고 인격모독입니다! 너같은 놈 땜에 내 흰머리 나는 건 어떡하구? .,no
2,김대리 이거 프로젝트 왜아직까지 완료가안된거지? 과장님 프로젝트 다음주까지 연기되었다고 메일받아서 진행중입니다. 아니 이사람이 정신이있어 없어? 그메일 이후로다시메일 보낸거 몰라? 기한은 이번주야 전 메일 받은적이없습니다. 다음주까지인줄 알았습니다 과장님 메일도 확인도 제대로 안하다니 누구야 김대리한테 메일 전달한사람 과장님 김대리님 그때 연차였어요 그래서 아마 메일 첨부에 없엇을거에요 머야? 이거 지금 그래서 내일까지 마무리되어야하는데 누가책임질거야 저는 내용을 몰랏습니다 과장님 최대한 다음주내로 빨리하겠습니다. 웃기지마 이미부서장님도 결제하신일을 이번주 주말출근해서 빨리 끝내도록해 과장님 이번주 주말 날샌다고해도 못합니다 저 회사그만두겠습니다.,no
1,민수야 너 잠깐 이리 와봐. 누구세요.? 나 ? 니네 형 친구야 . 아. 안녕하세요. 어디 가는 길이니? 저 학원가고 있어요. 아 맞다. 너 우리 학원다니지 ? 네 ? 아. 형도 이 학원다니시는구나. 근데 오늘 학원비 내는 날인거 알지? 그럼 너 학원비 가져왔겠네? 네. 엄마가 주셔서 학원가서 드리려구요. 내가 내 학원비 드리면서 니 학원비도 같이 내줄게. 일단 학원비 형한테 줄래? 네? 아니에요. 제가 가서 직접드릴 수 있어요. 오늘 안내고 내일 내도 되니까 일단 형한테 좀 줘봐. 형이 급하게 써야해서 쓰고 내일 니 꺼까지 내준다니까? 안돼요. 엄마가 아시면 엄청 혼나요,no
2,김대리 네 부장님 김대리 요새 얼굴이 그게뭐야? 제 얼굴이 왜요? 거울을 보고는 다니는거야? 요새 야근 때문에 잠을 잘못잤어요. 야근은 김대리가 일처리가 늦으니 그런거지 네. 거울 좀보고 다녀. 우리 회사 이미지 생각안해? 알겠습니다.,no
